"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1950 <= Year >= 2022""]"																																													
	1962	5	19	14	58	15	3	1	7.2			0	"MEXICO"	"S. MEXICO"	17.2	-99.5	0.34	1																3	1			16	1		2		2		
	1962	5	21	12	21		2	1	5.7			0	"JAPAN"	"OFF COAST OF HONSHU ISLAND"	41.8	142.4	0.1	1			-2																								
	1962	5	28	22	57	47	1	1	4.5			1	"GREECE"	"NORTH AEGEAN SEA"	39.8	25		1																											
	1962	12	21	8	42	43	1	1	6.5			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	52.47	-168.54		1																											
	1963	2	7	19	28		4	8				0	"GREECE"	"CORINTH GULF"	38.31	22.02	6	9			5	2	1			12	1		1		1			2	1			12	1		1		1		
	1963	2	13	8	50	4.5	4	1	7.3			0	"TAIWAN"	"E. TAIWAN-RYUKYU ISLANDS"	24.4	122.1	0.2	2		-2.3	-2													15	1			18	1		2		2		
	1963	3	28	10			3	0				0	"CANADA"	"GRAHAM ISLAND, BRITISH COLUMBIA"	54	-132.25	5.5	7				1	1						2					1	1						2				
	1963	3	30				2	6		351		0	"INDONESIA"	"LESSER SUNDA: BALI: AGUNG VOLCANO"	-8.342	115.508		2			2													1028	4			624	3						
	1963	9	18	16	58	14.8	4	1	6.2			0	"TURKEY"	"MARMARA SEA"	40.698	29.159	1	1			3													1	1						2	7	1	163	3
	1963	9	24	16	30	16	2	1	7			0	"PERU"	"CENTRAL PERU"	-10.385	-78.022		0																1	1						2				2
	1963	10	9	21	39		0	8				0	"ITALY"	"VAJONT DAM, VAJONT RIVER"	46.267	12.329	235	6				2000	4						3		3		3	2000	4						3		3		3
	1963	10	12	11	27	0.2	4	1	7.1			0	"RUSSIA"	"S. KURIL ISLANDS"	44.426	149.272	0.12	3		-3.3	-2																								
	1963	10	13	5	17	53.4	4	1	8.5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	149.798	4.5	90		2.3	2.5																								
	1963	10	20	0	53	10.9	4	1	7.9			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	150.563	15	22		3.9	3																								
	1963	12	16	1	51	31	2	1	6.6			0	"INDONESIA"	"JAVA"	-6.4	105.4		1		-0.5	0																				1				1
	1963	12	18	0	30	0	2	1	7.2			0	"TONGA"	"TONGA TRENCH"	-24.8	-176.6		1			0.5																								
	1964	3	20	16			2	0				0	"USA"	"GULF OF ALASKA, AK"			0.08	1																											
	1964	3	28	3	36	14	4	3	9.2			20	"USA"	"PRINCE WILLIAM SOUND, AK"	61.017	-147.648	51.8	426		6.1	3.5	124	3					116	4		3			139	3					400	4		3		
	1964	4	2	1	11	51	3	3	7			0	"INDONESIA"	"OFF NORTHWEST COAST OF INDONESIA"	5.8	95.4		1		-0.5	0																				3		3		
	1964	5	7	7	58	0	4	1	6.9			0	"JAPAN"	"NW. HONSHU ISLAND"	40.3	139	0.6	35		-0.1	0																				2				
	1964	5	7	20	13		3	1	6.6			0	"JAPAN"	"NW. HONSHU ISLAND"	40.4	139		2			-3																								
	1964	5	19	0	0	0	3	8				0	"USA"	"LONG ISLAND, NY"	40.8	-73.1	0.28	11																											
	1964	6	16	4	1	44.3	4	1	7.5			1	"JAPAN"	"NW. HONSHU ISLAND"	38.65	139.2	5.8	168		2.7	2	26	1			450	3	80	4	1960	4			26	1			450	3	80	4	2250	4		
	1964	7	24	8	12	39	4	1	6.8			0	"RUSSIA"	"S. KURIL ISLANDS"	47.159	153.876	0.08	5		-3.3	-2																								
	1964	11	17	8	15	39.3	3	1	7.6			0	"PAPUA NEW GUINEA"	"NEW BRITAIN"	-5.7	150.7	0.05	1																							1				
	1964	12	10	15	11	7.6	4	1	6.3			0	"JAPAN"	"NW. HONSHU ISLAND"	40.4	138.9	0.1	4		-3.3	-3																								
	1965	1	24	0	11	12.1	4	1	7.6			0	"INDONESIA"	"SANANA ISLAND"	-2.4	126.1		4		2	2	71	2						4	3000	4			71	2						2	3000	4		
	1965	1	30	9	20		0	8				0	"USA"	"COLUMBIA RIVER VALLEY, WA"				1				1	1					0.07		1	1	1	1	1	1					0.07	1	1	1	1	1
	1965	2	4	5	1	21.6	4	1	8.7			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.29	178.55	10.7	83		3.3	2.5							0.01	1											0.01	1				
	1965	2	19				0	7				0	"CHILE"	"SOUTHERN CHILE"	-41.755	-72.396	60	1				27	1						3		3			27	1						3		3		
	1965	2	23	22	11	46	1	1	7			0	"CHILE"	"NORTHERN CHILE"	-25.67	-70.63		0																											
	1965	3	9	17	57	53.7	3	1	6.3			0	"GREECE"	"AEGEAN SEA"	39.4	24		2																38	1			253	3	8	3		3		
	1965	3	22	22	56	28	1	1	6			0	"CHILE"	"CENTRAL CHILE"	-31.81	-71.26		0																											
	1965	3	30	2	27	3.4	4	1	7.6			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	50.32	177.93	0.1	3		-2.3	-1																								
	1965	4	19	23	42		-1	1	6			0	"JAPAN"	"AICHI PREFECTURE"	34.9	139	0.1	2			-4																								
	1965	6	11	3	34	2	4	1	7.2			0	"RUSSIA"	"S. KURIL ISLANDS"	44.7	148.7	0.1	6		-3.3	-3																								
	1965	7	2	20	58	38.1	4	1	6.5			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	53.03	-167.55	0.08	3		-3.3	-2																				1				
