,Date,Year,Month,ISO_3,Precipitation,SPI
158,1914-03-31,1914,March,CAN,29.67,0.526853775253415
159,1914-04-30,1914,April,CAN,29.71,0.1149416283657948
160,1914-05-31,1914,May,CAN,35.6,0.7412803611473207
161,1914-06-30,1914,June,CAN,53.6,0.4138896665470938
162,1914-07-31,1914,July,CAN,58.54,1.3995507347013145
163,1914-08-31,1914,August,CAN,54.62,1.4940706367333516
164,1914-09-30,1914,September,CAN,54.03,0.25648998629528885
165,1914-10-31,1914,October,CAN,47.08,0.38800402070042417
166,1914-11-30,1914,November,CAN,47.15,-0.5613967910772399
167,1914-12-31,1914,December,CAN,29.08,2.489262455644221
168,1915-01-31,1915,January,CAN,29.6,1.4477567959225939
169,1915-02-28,1915,February,CAN,27.36,0.3840907058019629
170,1915-03-31,1915,March,CAN,23.03,2.346305299816516
171,1915-04-30,1915,April,CAN,27.25,1.0138781785329802
172,1915-05-31,1915,May,CAN,40.72,-0.554793946244064
173,1915-06-30,1915,June,CAN,55.9,-0.12225581008693898
174,1915-07-31,1915,July,CAN,61.82,0.6076518786831531
175,1915-08-31,1915,August,CAN,52.94,1.844869545272653
176,1915-09-30,1915,September,CAN,56.16,-0.17486508168437917
177,1915-10-31,1915,October,CAN,48.37,0.12267699191250934
178,1915-11-30,1915,November,CAN,42.02,0.49689958321023375
179,1915-12-31,1915,December,CAN,39.0,-0.04350986847112035
180,1916-01-31,1916,January,CAN,34.38,0.2868778733709739
181,1916-02-29,1916,February,CAN,29.0,-0.04190392676757532
182,1916-03-31,1916,March,CAN,33.82,-0.6103034275985229
183,1916-04-30,1916,April,CAN,26.69,1.2185141411726643
184,1916-05-31,1916,May,CAN,40.85,-0.587702082955174
185,1916-06-30,1916,June,CAN,53.48,0.44186247402365314
186,1916-07-31,1916,July,CAN,66.8,-0.5946823600273471
187,1916-08-31,1916,August,CAN,56.04,1.1975620354679897
188,1916-09-30,1916,September,CAN,54.49,0.16333349274099399
189,1916-10-31,1916,October,CAN,48.08,0.18232415342297068
190,1916-11-30,1916,November,CAN,37.14,1.5036220601152783
191,1916-12-31,1916,December,CAN,37.13,0.4339381402078798
192,1917-01-31,1917,January,CAN,35.49,0.01730138717174856
193,1917-02-28,1917,February,CAN,27.21,0.42305362951259107
194,1917-03-31,1917,March,CAN,30.62,0.26654068062465824
195,1917-04-30,1917,April,CAN,29.87,0.056474210468742056
