Variable:,pr
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1927,1245.26,1190.86,2478.38,1991.95,1612.94,681.93,2198.17,2093.31,1809.10,1369.93,2247.85,749.96,1240.70,935.37,890.01,1120.99,1506.47,1251.02,1249.13,1287.26,1144.51,1265.58,1085.23,1469.32,623.51,2310.06,984.53,2307.68,2015.12,1466.58,1858.04,974.30,1375.98,1599.80,1266.44,2407.00,873.40,1035.46
1928,1237.37,1180.76,2658.32,2175.39,1708.76,530.60,2398.20,2315.18,1951.65,1354.61,2464.51,742.68,1185.55,919.26,841.91,924.54,1562.76,1259.27,1572.76,1203.43,1406.03,1513.33,1236.50,1452.76,530.46,2502.63,962.48,2475.92,2188.14,1551.16,2027.23,933.85,1376.85,1773.81,1221.81,2585.02,699.95,887.18
1929,1250.07,1102.78,2665.05,2115.66,1656.79,530.29,2375.68,2255.40,1915.15,1314.61,2401.85,722.19,1187.60,905.13,839.35,1098.04,1530.71,1340.35,1621.85,1271.46,1462.58,1503.62,1280.25,1470.38,547.28,2463.16,969.13,2424.58,2129.95,1546.81,1963.29,938.74,1325.52,1782.51,1227.30,2543.70,784.90,963.21
1930,1277.79,1072.49,2707.59,2231.19,1860.66,584.01,2508.31,2341.50,2014.61,1429.36,2494.81,681.50,1245.66,853.75,783.57,1026.35,1667.81,1254.25,1503.77,1252.27,1347.16,1467.03,1210.30,1546.28,581.63,2557.28,987.56,2483.03,2314.01,1593.96,2107.72,920.32,1486.88,1797.97,1338.50,2609.49,759.20,919.44
1931,1250.34,1142.76,2656.47,2121.91,1606.07,646.49,2334.51,2359.45,1975.64,1340.93,2381.22,707.31,1223.81,887.42,843.38,974.51,1613.49,1297.31,1703.84,1248.73,1520.30,1624.62,1292.16,1372.45,614.35,2419.50,934.26,2562.42,2064.24,1587.93,1932.36,900.27,1339.68,1848.08,1156.08,2556.70,691.82,949.49
1932,1115.14,1075.79,2179.15,1738.41,1486.63,606.58,2026.04,1795.79,1559.31,1114.81,1956.44,771.09,1114.81,933.89,851.52,892.25,1295.50,1066.08,1186.99,997.01,1081.59,1144.69,985.81,1396.39,592.53,2015.01,997.75,1954.05,1793.62,1276.46,1630.37,928.03,1231.93,1393.34,1238.68,2074.40,787.07,917.78
1933,1298.40,1175.32,2649.96,2211.04,1699.50,649.76,2456.78,2418.55,2060.15,1329.21,2471.54,770.63,1237.26,975.76,914.87,933.33,1623.76,1394.23,1889.06,1222.89,1720.65,1684.50,1489.24,1454.99,606.04,2477.64,975.66,2621.17,2175.08,1708.91,2013.83,947.18,1334.19,1873.57,1220.90,2606.27,787.91,997.44
1934,1230.62,1135.39,2336.81,2133.54,1715.74,575.57,2228.93,2322.69,2013.33,1416.74,2285.81,646.89,1183.78,820.91,727.53,904.32,1644.00,1277.41,1775.07,1196.28,1606.34,1551.56,1347.87,1451.05,541.94,2247.63,948.15,2348.44,2089.95,1592.92,1993.93,933.80,1466.63,1827.31,1307.00,2309.30,642.79,807.25
1935,1210.93,1053.50,2563.37,2015.09,1621.76,547.83,2358.55,2167.18,1779.82,1214.97,2291.92,781.66,1183.82,972.41,883.15,963.20,1390.46,1195.65,1717.53,1110.56,1569.33,1450.03,1274.51,1423.05,573.47,2342.85,1009.63,2379.08,2062.24,1415.70,1875.27,921.86,1284.16,1677.18,1244.92,2429.32,788.06,937.94
1936,1211.66,1269.10,2425.08,1746.73,1537.98,702.72,2181.91,1881.07,1529.95,1142.70,2047.56,820.58,1210.37,983.00,911.45,1109.37,1260.11,1021.34,1336.98,1043.39,1183.22,1242.19,1030.16,1548.83,673.70,2139.61,1136.23,2184.30,1850.67,1257.84,1643.28,1107.99,1268.56,1442.59,1384.00,2251.81,990.50,1079.49
1937,1134.31,1024.02,2314.11,1882.84,1526.07,615.68,2127.98,2099.16,1783.87,1160.83,2116.47,682.35,1033.61,786.22,749.08,803.58,1380.67,1124.34,1512.29,1035.03,1371.34,1500.94,1223.24,1331.18,626.07,2156.00,903.10,2231.25,1924.60,1431.32,1750.41,883.17,1196.02,1692.21,1118.57,2229.90,705.09,847.52
1938,1154.87,1020.87,2660.02,1890.23,1561.83,625.22,2366.24,1992.84,1646.85,1176.10,2198.07,807.76,1177.55,922.51,850.16,916.69,1340.54,1020.40,1317.77,1042.79,1176.10,1208.38,1012.59,1297.98,612.93,2318.01,1032.56,2292.67,2017.63,1272.12,1779.35,949.70,1260.81,1450.79,1227.91,2423.90,717.02,902.53
1939,1311.45,1166.44,2708.27,2227.76,1791.90,639.58,2503.01,2335.16,1946.27,1390.54,2537.83,851.80,1299.27,1084.57,1049.13,1048.64,1547.17,1247.13,1383.33,1240.80,1255.41,1390.97,1177.17,1523.93,666.13,2571.36,1066.91,2596.52,2268.32,1512.77,2059.72,1025.86,1453.08,1671.70,1373.15,2680.03,864.69,1099.95
1940,1204.93,1091.69,2720.15,2077.02,1693.16,556.17,2471.37,2182.14,1790.57,1228.49,2391.00,703.47,1129.01,858.19,800.75,921.48,1475.59,1223.92,1464.39,1152.43,1337.11,1400.30,1211.53,1485.40,545.79,2478.01,945.70,2441.57,2147.16,1393.95,1936.22,894.26,1291.24,1613.12,1228.08,2558.91,688.14,887.49
1941,1197.08,1099.96,2739.12,2193.79,1699.21,518.78,2500.42,2401.70,1934.35,1199.28,2497.30,640.08,1091.45,833.62,777.70,843.96,1481.67,1136.89,1701.19,1059.91,1524.71,1537.64,1262.19,1479.05,478.89,2549.04,895.54,2624.38,2212.37,1438.94,2014.46,878.23,1266.41,1784.71,1185.62,2644.86,668.18,856.61
1942,1082.91,979.73,2672.89,1918.04,1655.62,540.87,2433.33,2070.35,1629.24,1107.91,2233.03,572.27,987.55,708.31,582.33,712.05,1276.35,957.97,1487.23,916.31,1285.42,1286.51,1049.80,1458.61,515.63,2356.74,863.97,2334.75,2067.55,1188.16,1807.52,832.23,1226.20,1503.42,1171.27,2450.39,500.96,636.52
1943,1190.46,1129.51,2597.76,1945.16,1584.46,605.68,2324.94,2131.31,1714.62,1162.76,2259.58,817.99,1132.88,931.92,826.86,921.76,1329.09,1033.04,1528.01,1015.95,1344.25,1361.91,1089.42,1511.56,666.07,2349.72,1048.03,2413.18,2021.90,1323.00,1816.56,1003.13,1249.65,1604.57,1280.79,2486.82,769.07,861.81
1944,1085.01,963.11,2305.65,1843.94,1554.20,486.54,2157.41,1985.33,1688.22,1114.62,2104.20,591.55,967.83,707.63,649.71,863.94,1337.97,1137.12,1305.94,1029.81,1206.06,1345.71,1165.10,1403.36,492.94,2159.47,813.45,2163.06,1923.41,1379.95,1724.47,790.36,1185.93,1541.53,1100.19,2237.41,646.70,778.68
1945,1114.02,1028.38,2086.44,1745.66,1442.93,604.94,1932.73,1864.90,1563.48,1187.46,1958.56,768.59,1175.81,970.80,921.26,928.42,1275.30,1025.66,1155.97,1057.88,1057.92,1090.61,952.15,1291.17,600.72,1989.96,991.85,2023.44,1763.84,1209.92,1610.99,937.18,1226.12,1359.86,1190.71,2067.05,834.69,1000.39
1946,1157.51,1111.06,2339.37,1671.66,1439.23,753.06,2090.68,1703.93,1396.25,1105.49,1925.58,991.34,1238.68,1132.48,1114.51,954.48,1132.08,892.54,1027.83,1025.15,923.81,938.27,829.27,1404.87,812.45,2027.64,1164.23,1992.56,1775.29,1034.96,1569.99,1078.98,1194.72,1181.27,1277.70,2123.54,851.41,1104.60
1947,1223.15,1006.67,2422.51,2096.24,1797.39,545.88,2376.84,2297.16,1937.70,1412.29,2307.27,682.15,1192.31,874.05,831.82,795.69,1604.33,1314.94,1703.50,1152.68,1547.10,1591.91,1425.12,1399.31,508.08,2346.02,926.41,2427.93,2173.43,1534.82,1962.75,865.95,1476.09,1794.78,1287.42,2403.99,645.07,861.08
