,Date,Year,Month,Country_id,Precipitation,SPI
156,1914-01-31,1914,January,NAM,63.06,-0.07248884359767445
157,1914-02-28,1914,February,NAM,56.11,0.3761797696265178
158,1914-03-31,1914,March,NAM,52.44,0.12904543491550305
159,1914-04-30,1914,April,NAM,17.94,0.20873579538664475
160,1914-05-31,1914,May,NAM,2.28,0.41881054305407484
161,1914-06-30,1914,June,NAM,0.82,0.3228102598543487
162,1914-07-31,1914,July,NAM,0.82,-0.1937187685010156
163,1914-08-31,1914,August,NAM,3.69,-4.447995668593392
164,1914-09-30,1914,September,NAM,0.37,0.7455566447532961
165,1914-10-31,1914,October,NAM,11.77,-0.4960736337500139
166,1914-11-30,1914,November,NAM,4.73,1.478832420367108
167,1914-12-31,1914,December,NAM,37.73,0.023793357462139272
168,1915-01-31,1915,January,NAM,57.49,0.0978752318618386
169,1915-02-28,1915,February,NAM,102.09,-1.120089215323404
170,1915-03-31,1915,March,NAM,14.64,1.4845826408695841
171,1915-04-30,1915,April,NAM,12.11,0.6747562787857035
172,1915-05-31,1915,May,NAM,1.48,0.5987362512363684
173,1915-06-30,1915,June,NAM,3.12,-1.339934424903479
174,1915-07-31,1915,July,NAM,0.59,0.1396883636810049
175,1915-08-31,1915,August,NAM,0.41,0.4262913263298357
176,1915-09-30,1915,September,NAM,3.81,-0.8085824668858859
177,1915-10-31,1915,October,NAM,2.66,1.06964412492995
178,1915-11-30,1915,November,NAM,12.05,0.9076169042586958
179,1915-12-31,1915,December,NAM,57.18,-1.067543167957267
180,1916-01-31,1916,January,NAM,19.68,1.2543322683293767
181,1916-02-29,1916,February,NAM,37.33,0.9873135568679169
182,1916-03-31,1916,March,NAM,71.45,-0.5526678530524094
183,1916-04-30,1916,April,NAM,11.43,0.7291120126984583
184,1916-05-31,1916,May,NAM,0.99,0.7089407474980233
185,1916-06-30,1916,June,NAM,0.15,0.8071750158490203
186,1916-07-31,1916,July,NAM,0.47,0.3136399109064069
187,1916-08-31,1916,August,NAM,0.31,0.5748976371506658
188,1916-09-30,1916,September,NAM,0.36,0.7500744910080612
189,1916-10-31,1916,October,NAM,12.88,-0.6868471477055311
190,1916-11-30,1916,November,NAM,52.62,-2.2582592553749485
191,1916-12-31,1916,December,NAM,85.86,-2.6767735817890697
192,1917-01-31,1917,January,NAM,87.54,-0.8212343673407408
193,1917-02-28,1917,February,NAM,107.06,-1.2818216393164685
194,1917-03-31,1917,March,NAM,65.9,-0.3536405648766119
195,1917-04-30,1917,April,NAM,29.11,-0.6841370690331638
196,1917-05-31,1917,May,NAM,3.44,0.15791826618974894
197,1917-06-30,1917,June,NAM,2.91,-1.188118605860373
198,1917-07-31,1917,July,NAM,0.83,-0.2082147307697991
199,1917-08-31,1917,August,NAM,1.91,-1.802803335982616
200,1917-09-30,1917,September,NAM,1.2,0.3705754056077959
201,1917-10-31,1917,October,NAM,1.83,1.2122945903201112
202,1917-11-30,1917,November,NAM,15.03,0.6750728826735773
203,1917-12-31,1917,December,NAM,42.33,-0.2343119390380802
204,1918-01-31,1918,January,NAM,52.52,0.24988770134725682
205,1918-02-28,1918,February,NAM,69.48,-0.058903230129473086
206,1918-03-31,1918,March,NAM,124.43,-2.452571587746781
207,1918-04-30,1918,April,NAM,3.88,1.3326205289356612
208,1918-05-31,1918,May,NAM,4.05,0.02072491370075001
209,1918-06-30,1918,June,NAM,0.9,0.2649756621236416
210,1918-07-31,1918,July,NAM,1.98,-1.8752503916799017
211,1918-08-31,1918,August,NAM,1.41,-1.0597717818784653
212,1918-09-30,1918,September,NAM,1.31,0.3208790968053801
213,1918-10-31,1918,October,NAM,21.34,-2.1408506865016337
214,1918-11-30,1918,November,NAM,20.61,0.23963810400077137
215,1918-12-31,1918,December,NAM,42.76,-0.2584391732761442
216,1919-01-31,1919,January,NAM,36.71,0.7334525187646538
217,1919-02-28,1919,February,NAM,42.42,0.8216761246496674
218,1919-03-31,1919,March,NAM,46.09,0.35676134120673075
219,1919-04-30,1919,April,NAM,11.22,0.7458983422891617
220,1919-05-31,1919,May,NAM,0.47,0.8258924578165143
221,1919-06-30,1919,June,NAM,0.2,0.7710283922673283
222,1919-07-31,1919,July,NAM,0.28,0.5890631940132933
